codigo_pre,tipsum,codigo_med,fecha_carga,precio_adq,precio_ope,stk_,fv_,valid_tipsum,periodo
----------,------,----------,-----------,----------,----------,----,---,------------,-------
28025F12,S,08054,2021-10-01 02:32:20.127,0.082500,0.110000,1200,2022-06-30 00:00:00.000,1,20210930
28025F12,S,05688,2021-10-01 02:32:18.983,0.382500,0.510000,140,2022-11-30 00:00:00.000,1,20210930
28025F12,S,03302,2021-10-01 02:32:16.407,0.120000,0.160000,200,2023-09-30 00:00:00.000,1,20210930
28025F10,S,05686,2021-10-01 02:32:29.343,10.755000,14.340000,0,1900-01-01 00:00:00.000,1,20210930
28025F08,S,26631,2021-10-01 02:32:37.940,10.590000,14.120000,23879,2023-03-31 00:00:00.000,1,20210930
28025F07,S,38291,2021-10-01 02:34:42.317,15.750000,21.000000,23,2024-11-30 00:00:00.000,1,20210930
28025F07,S,25557,2021-10-01 02:34:24.957,4.050000,5.400000,13,2025-04-30 00:00:00.000,1,20210930
28025F07,S,25556,2021-10-01 02:34:24.647,2.812500,3.750000,4,2022-09-30 00:00:00.000,1,20210930
28025F07,S,21358,2021-10-01 02:34:08.363,0.607500,0.810000,63,2022-02-28 00:00:00.000,1,20210930
28025F07,S,21004,2021-10-01 02:34:07.537,2.250000,3.000000,240,2024-05-31 00:00:00.000,1,20210930
28025F07,S,19312,2021-10-01 02:34:03.253,4.470000,5.960000,7,2022-05-31 00:00:00.000,1,20210930
28025F07,S,18886,2021-10-01 02:34:01.597,2.137500,2.850000,82,2024-12-31 00:00:00.000,1,20210930
28025F07,S,17030,2021-10-01 02:39:34.693,2.437500,3.250000,30,2023-09-30 00:00:00.000,1,20210930
28025F07,S,17029,2021-10-01 02:39:34.473,2.437500,3.250000,41,2023-09-30 00:00:00.000,1,20210930
28025F07,S,16571,2021-10-01 02:33:54.380,2.152500,2.870000,519,2025-09-30 00:00:00.000,1,20210930
28025F07,S,15336,2021-10-01 02:33:53.283,1.125000,1.500000,7,2025-03-31 00:00:00.000,1,20210930
28025F07,S,11370,2021-10-01 02:33:41.643,0.120000,0.160000,215,2024-08-31 00:00:00.000,1,20210930
28025F07,S,10222,2021-10-01 02:33:33.940,0.787500,1.050000,9,2021-11-30 00:00:00.000,1,20210930
28025F07,S,04365,2021-10-01 02:33:10.860,0.180000,0.240000,2,2022-03-31 00:00:00.000,1,20210930
28025F07,S,03921,2021-10-01 02:33:08.597,0.135000,0.180000,3,2023-06-30 00:00:00.000,1,20210930
28025F07,S,03713,2021-10-01 02:33:05.283,0.075000,0.100000,42,2023-05-31 00:00:00.000,1,20210930
28025F07,S,03552,2021-10-01 02:33:04.300,0.052500,0.070000,56,2023-02-28 00:00:00.000,1,20210930
28025F07,S,02004,2021-10-01 02:32:56.050,0.022500,0.030000,127,2022-09-30 00:00:00.000,1,20210930
28025F07,S,01467,2021-10-01 02:32:51.453,1.582500,2.110000,60,2022-02-28 00:00:00.000,1,20210930
28025F07,S,00662,2021-10-01 02:32:48.500,2.572500,3.430000,11,2021-10-31 00:00:00.000,1,20210930
28025F05,S,38592,2021-10-01 02:36:36.063,13.500000,18.000000,0,1900-01-01 00:00:00.000,1,20210930
28025F05,S,30541,2021-10-01 02:36:32.330,810.000000,1080.000000,0,1900-01-01 00:00:00.000,1,20210930
28025F05,S,29632,2021-10-01 02:36:30.907,73.125000,97.500000,48,2023-06-30 00:00:00.000,1,20210930
28025F05,S,27341,2021-10-01 02:36:29.217,13.125000,17.500000,0,1900-01-01 00:00:00.000,1,20210930
28025F05,S,24637,2021-10-01 02:36:23.327,65.625000,87.500000,21,2023-08-31 00:00:00.000,1,20210930
28025F05,S,24313,2021-10-01 02:36:22.950,27.187500,36.250000,57,2023-09-30 00:00:00.000,1,20210930
28025F05,S,22465,2021-10-01 02:36:20.013,6.885000,9.180000,31,2023-09-30 00:00:00.000,1,20210930
28025F05,S,18874,2021-10-01 02:36:11.420,0.075000,0.100000,0,1900-01-01 00:00:00.000,1,20210930
28025F05,S,18381,2021-10-01 02:36:10.030,2.250000,3.000000,32,2023-12-31 00:00:00.000,1,20210930
28025F05,S,12701,2021-10-01 02:35:59.327,3.277500,4.370000,19,2024-03-31 00:00:00.000,1,20210930
28025F05,S,11850,2021-10-01 02:35:55.030,0.922500,1.230000,0,2026-01-31 00:00:00.000,1,20210930
28025F05,S,10929,2021-10-01 02:35:52.013,0.457500,0.610000,157,2025-04-30 00:00:00.000,1,20210930
28025F05,S,10380,2021-10-01 02:35:50.170,3.465000,4.620000,4,2024-03-31 00:00:00.000,1,20210930
28025F05,S,05961,2021-10-01 02:35:42.090,29.572500,39.430000,8,2021-12-31 00:00:00.000,1,20210930
28025F05,S,05873,2021-10-01 02:35:41.247,2.017500,2.690000,103,2024-05-31 00:00:00.000,1,20210930
28025F05,S,05106,2021-10-01 02:35:32.183,8.437500,11.250000,25,2022-07-31 00:00:00.000,1,20210930
28025F05,S,05018,2021-10-01 02:35:31.543,0.150000,0.200000,33,2022-09-30 00:00:00.000,1,20210930
28025F05,S,04743,2021-10-01 02:35:29.247,0.360000,0.480000,98,2023-04-30 00:00:00.000,1,20210930
28025F05,S,04666,2021-10-01 02:35:27.153,6.840000,9.120000,128,2022-07-31 00:00:00.000,1,20210930
28025F05,S,04291,2021-10-01 02:35:23.263,7.770000,10.360000,8,2022-01-31 00:00:00.000,1,20210930
28025F05,S,02953,2021-10-01 02:35:08.887,0.097500,0.130000,55,2022-10-31 00:00:00.000,1,20210930
28025F05,S,02752,2021-10-01 02:35:06.810,0.750000,1.000000,9,2024-02-29 00:00:00.000,1,20210930
28025F05,S,01205,2021-10-01 02:34:55.433,1.312500,1.750000,10,2023-05-31 00:00:00.000,1,20210930
28025F05,S,00223,2021-10-01 02:34:47.913,9.187500,12.250000,1,2023-07-31 00:00:00.000,1,20210930
28025F04,S,41636,2021-10-01 02:36:59.160,16.920000,22.560000,123,2026-08-31 00:00:00.000,1,20210930
28025F04,S,26356,2021-10-01 02:36:52.957,2.745000,3.660000,0,2022-09-30 00:00:00.000,1,20210930
28025F04,S,22709,2021-10-01 02:36:51.597,123.060000,164.080000,5,2023-05-31 00:00:00.000,1,20210930
28025F04,S,02642,2021-10-01 02:36:43.110,0.322500,0.430000,0,2023-07-31 00:00:00.000,1,20210930
28025F04,S,01705,2021-10-01 02:36:42.330,14.670000,19.560000,0,1900-01-01 00:00:00.000,1,20210930
28025F02,S,39028,2021-10-01 02:38:16.690,1.470000,1.960000,2,2024-12-31 00:00:00.000,1,20210930
28025F02,S,37810,2021-10-01 02:38:14.817,0.937500,1.250000,0,2024-01-31 00:00:00.000,1,20210930
28025F02,S,23948,2021-10-01 02:38:04.610,3.652500,4.870000,0,2024-12-31 00:00:00.000,1,20210930
28025F02,S,16657,2021-10-01 02:37:51.590,0.112500,0.150000,828,2023-10-31 00:00:00.000,1,20210930
28025F02,S,15231,2021-10-01 02:37:49.967,19.687500,26.250000,100,2026-02-28 00:00:00.000,1,20210930
28025F02,S,11848,2021-10-01 02:37:46.527,1.035000,1.380000,0,2024-11-28 00:00:00.000,1,20210930
28025F02,S,10158,2021-10-01 02:37:41.107,0.060000,0.080000,238,2024-10-31 00:00:00.000,1,20210930
28025F02,S,05626,2021-10-01 02:37:31.183,7.777500,10.370000,348,2023-02-28 00:00:00.000,1,20210930
28025F02,S,05590,2021-10-01 02:37:30.713,0.157500,0.210000,8,2022-04-30 00:00:00.000,1,20210930
28025F02,S,04415,2021-10-01 02:37:22.180,2.340000,3.120000,31,2022-06-30 00:00:00.000,1,20210930
28025F02,S,04333,2021-10-01 02:37:21.133,2.812500,3.750000,118,2021-10-30 00:00:00.000,1,20210930
28025F02,S,02432,2021-10-01 02:37:10.940,0.007500,0.010000,0,1900-01-01 00:00:00.000,1,20210930
28025F02,S,02003,2021-10-01 02:37:09.910,0.060000,0.080000,94,2022-09-30 00:00:00.000,1,20210930
28025F02,S,01800,2021-10-01 02:37:08.817,11.250000,15.000000,87,2022-07-31 00:00:00.000,1,20210930
28025F02,S,01009,2021-10-01 02:37:06.190,13.125000,17.500000,10,2023-04-30 00:00:00.000,1,20210930
28025F02,S,00910,2021-10-01 02:37:05.627,1.170000,1.560000,41,2021-10-31 00:00:00.000,1,20210930
28025F01,S,39917,2021-10-01 02:39:38.397,1640.625000,2187.500000,2,2026-06-30 00:00:00.000,1,20210930
28025F12,S,18625,2021-10-01 02:32:20.877,0.997500,1.330000,840,2022-08-31 00:00:00.000,1,20210930
28025F12,S,03513,2021-10-01 02:32:16.953,0.120000,0.160000,3328,2023-04-30 00:00:00.000,1,20210930
28025F11,S,05686,2021-10-01 02:32:26.343,10.755000,14.340000,0,1900-01-01 00:00:00.000,1,20210930
28025F11,S,05475,2021-10-01 02:32:25.983,0.157500,0.210000,26,2022-02-28 00:00:00.000,1,20210930
28025F08,S,43815,2021-10-01 02:32:43.783,15.465000,20.620000,14420,2024-05-31 00:00:00.000,1,20210930
28025F08,S,41488,2021-10-01 02:32:43.267,0.787500,1.050000,15474,2026-03-31 00:00:00.000,1,20210930
28025F08,S,37326,2021-10-01 02:32:42.140,0.187500,0.250000,44765,2022-09-30 00:00:00.000,1,20210930
28025F08,S,35343,2021-10-01 02:32:41.250,7.965000,10.620000,10136,2025-12-31 00:00:00.000,1,20210930
28025F08,S,16571,2021-10-01 02:32:34.017,2.152500,2.870000,3338,2025-09-30 00:00:00.000,1,20210930
28025F07,S,39028,2021-10-01 02:34:44.350,1.470000,1.960000,175,2024-12-31 00:00:00.000,1,20210930
28025F07,S,37810,2021-10-01 02:34:41.897,0.937500,1.250000,27,2024-01-31 00:00:00.000,1,20210930
28025F07,S,25195,2021-10-01 02:34:22.567,9.375000,12.500000,117,2025-01-31 00:00:00.000,1,20210930
28025F07,S,21303,2021-10-01 02:34:08.037,7.672500,10.230000,40,2021-10-30 00:00:00.000,1,20210930
28025F07,S,19239,2021-10-01 02:34:02.833,7.027500,9.370000,20,2021-12-31 00:00:00.000,1,20210930
28025F07,S,18671,2021-10-01 02:34:00.770,44.175000,58.900000,24,2022-03-31 00:00:00.000,1,20210930
28025F07,S,16774,2021-10-01 02:33:58.300,5.152500,6.870000,5,2024-11-30 00:00:00.000,1,20210930
28025F07,S,16597,2021-10-01 02:33:54.863,0.210000,0.280000,44,2025-01-31 00:00:00.000,1,20210930
28025F07,S,12023,2021-10-01 02:33:47.020,2.137500,2.850000,32,2025-04-30 00:00:00.000,1,20210930
28025F07,S,11368,2021-10-01 02:33:40.973,0.187500,0.250000,76,2025-05-31 00:00:00.000,1,20210930
28025F07,S,10155,2021-10-01 02:33:33.317,0.045000,0.060000,99,2023-07-31 00:00:00.000,1,20210930
28025F07,S,10154,2021-10-01 02:33:33.067,0.075000,0.100000,181,2024-02-29 00:00:00.000,1,20210930
28025F07,S,05856,2021-10-01 02:33:26.800,1.147500,1.530000,70,2022-07-31 00:00:00.000,1,20210930
28025F07,S,05809,2021-10-01 02:33:26.393,0.675000,0.900000,1210,2022-08-31 00:00:00.000,1,20210930
28025F07,S,05731,2021-10-01 02:33:26.017,3.322500,4.430000,2,2021-10-31 00:00:00.000,1,20210930
28025F07,S,04333,2021-10-01 02:33:10.487,2.812500,3.750000,22,2021-10-30 00:00:00.000,1,20210930
28025F07,S,03443,2021-10-01 02:33:03.283,1.125000,1.500000,49,2022-04-30 00:00:00.000,1,20210930
28025F07,S,00910,2021-10-01 02:32:50.237,1.170000,1.560000,43,2021-10-31 00:00:00.000,1,20210930
28025F05,S,35040,2021-10-01 02:36:34.097,0.067500,0.090000,55,2023-06-30 00:00:00.000,1,20210930
28025F05,S,27492,2021-10-01 02:36:29.623,13.125000,17.500000,448,2022-08-31 00:00:00.000,1,20210930
28025F05,S,25765,2021-10-01 02:36:27.360,225.000000,300.000000,1,2023-03-31 00:00:00.000,1,20210930
28025F05,S,24187,2021-10-01 02:36:22.547,58.125000,77.500000,16,2025-11-30 00:00:00.000,1,20210930
28025F05,S,19421,2021-10-01 02:36:13.500,0.780000,1.040000,260,2024-10-31 00:00:00.000,1,20210930
28025F05,S,18157,2021-10-01 02:36:09.593,2.572500,3.430000,46,2022-11-30 00:00:00.000,1,20210930
28025F05,S,18101,2021-10-01 02:36:09.170,3.345000,4.460000,10,2022-03-31 00:00:00.000,1,20210930
28025F05,S,16570,2021-10-01 02:36:02.577,1.590000,2.120000,424,2025-08-31 00:00:00.000,1,20210930
28025F05,S,15334,2021-10-01 02:36:02.000,2.700000,3.600000,52,2024-12-30 00:00:00.000,1,20210930
28025F05,S,11861,2021-10-01 02:35:55.543,1.815000,2.420000,0,1900-01-01 00:00:00.000,1,20210930
28025F05,S,11849,2021-10-01 02:35:54.607,1.072500,1.430000,0,2025-09-30 00:00:00.000,1,20210930
28025F05,S,11848,2021-10-01 02:35:54.263,1.035000,1.380000,34,2024-11-28 00:00:00.000,1,20210930
28025F05,S,10482,2021-10-01 02:35:51.327,0.630000,0.840000,107,2023-10-31 00:00:00.000,1,20210930
28025F05,S,08166,2021-10-01 02:35:44.467,4.215000,5.620000,10,2023-03-31 00:00:00.000,1,20210930
28025F05,S,05626,2021-10-01 02:35:38.183,7.777500,10.370000,117,2023-02-28 00:00:00.000,1,20210930
28025F05,S,05384,2021-10-01 02:35:35.873,8.865000,11.820000,16,2022-06-30 00:00:00.000,1,20210930
28025F05,S,05167,2021-10-01 02:35:33.967,0.352500,0.470000,16,2022-04-30 00:00:00.000,1,20210930
28025F05,S,04982,2021-10-01 02:35:31.357,0.165000,0.220000,10,2022-01-31 00:00:00.000,1,20210930
28025F05,S,02788,2021-10-01 02:35:07.260,0.142500,0.190000,24,2021-10-30 00:00:00.000,1,20210930
28025F05,S,02654,2021-10-01 02:35:06.107,0.022500,0.030000,43,2021-11-30 00:00:00.000,1,20210930
28025F05,S,01930,2021-10-01 02:35:02.323,0.577500,0.770000,89,2022-01-31 00:00:00.000,1,20210930
28025F05,S,01853,2021-10-01 02:35:02.107,2.250000,3.000000,48,2022-10-31 00:00:00.000,1,20210930
28025F05,S,01711,2021-10-01 02:35:00.810,0.645000,0.860000,4,2022-04-30 00:00:00.000,1,20210930
28025F05,S,00947,2021-10-01 02:34:54.683,1.102500,1.470000,347,2023-04-30 00:00:00.000,1,20210930
28025F05,S,00946,2021-10-01 02:34:54.197,0.502500,0.670000,89,2022-07-31 00:00:00.000,1,20210930
28025F05,S,00673,2021-10-01 02:34:50.977,0.037500,0.050000,81,2022-02-28 00:00:00.000,1,20210930
28025F05,S,00234,2021-10-01 02:34:48.070,4.687500,6.250000,46,2021-10-31 00:00:00.000,1,20210930
28025F04,S,31732,2021-10-01 02:36:55.563,38.970000,51.960000,267,2026-06-30 00:00:00.000,1,20210930
28025F04,S,18077,2021-10-01 02:36:49.500,16.687500,22.250000,119,2024-02-29 00:00:00.000,1,20210930
28025F04,S,04556,2021-10-01 02:36:44.330,1.125000,1.500000,0,2022-06-30 00:00:00.000,1,20210930
28025F04,S,01657,2021-10-01 02:36:41.800,1.875000,2.500000,0,2021-10-30 00:00:00.000,1,20210930
28025F02,S,39917,2021-10-01 02:38:18.207,1640.625000,2187.500000,2,2026-06-30 00:00:00.000,1,20210930
28025F02,S,31345,2021-10-01 02:38:12.563,60.937500,81.250000,10,2026-03-31 00:00:00.000,1,20210930
28025F02,S,25378,2021-10-01 02:38:06.737,1640.625000,2187.500000,4,2025-02-28 00:00:00.000,1,20210930
28025F02,S,24313,2021-10-01 02:38:05.487,27.187500,36.250000,71,2023-09-30 00:00:00.000,1,20210930
28025F02,S,21529,2021-10-01 02:38:02.267,63.750000,85.000000,0,2024-09-30 00:00:00.000,1,20210930
28025F02,S,20814,2021-10-01 02:38:01.127,18.750000,25.000000,76,2024-05-31 00:00:00.000,1,20210930
28025F02,S,20361,2021-10-01 02:38:00.470,0.885000,1.180000,110,2024-11-30 00:00:00.000,1,20210930
28025F02,S,18381,2021-10-01 02:37:55.420,2.250000,3.000000,102,2023-12-31 00:00:00.000,1,20210930
28025F02,S,16599,2021-10-01 02:37:51.450,0.187500,0.250000,49,2024-06-30 00:00:00.000,1,20210930
28025F02,S,12808,2021-10-01 02:37:49.637,1.395000,1.860000,17,2025-11-30 00:00:00.000,1,20210930
28025F02,S,11369,2021-10-01 02:37:45.217,0.300000,0.400000,784,2025-12-31 00:00:00.000,1,20210930
28025F02,S,04717,2021-10-01 02:37:25.260,16.875000,22.500000,62,2022-05-31 00:00:00.000,1,20210930
28025F02,S,04666,2021-10-01 02:37:23.853,6.840000,9.120000,121,2022-07-31 00:00:00.000,1,20210930
28025F10,S,03513,2021-10-01 02:32:28.470,0.120000,0.160000,0,2023-04-30 00:00:00.000,1,20210930
28025F08,S,29692,2021-10-01 02:32:39.343,11.152500,14.870000,7496,2023-04-30 00:00:00.000,1,20210930
28025F08,S,28451,2021-10-01 02:32:38.390,8.902500,11.870000,6188,2025-12-31 00:00:00.000,1,20210930
28025F07,S,47093,2021-10-01 02:34:46.320,3.562500,4.750000,241,2026-02-28 00:00:00.000,1,20210930
28025F07,S,39917,2021-10-01 02:34:44.600,1640.625000,2187.500000,0,1900-01-01 00:00:00.000,1,20210930
28025F07,S,39025,2021-10-01 02:34:43.333,0.900000,1.200000,16,2025-09-30 00:00:00.000,1,20210930
