Se cambió la configuración de idioma a Español.
id|almcod|fecha_corte1|codigo_siga1|cantidad1|lote1|fecha_venc1|Autor_sanit|control1|control2
--|------|------------|------------|---------|-----|-----------|-----------|--------|--------
296030|090A01|2023-01-22 01:00:00.000|583900410002|3|A0304-2018|2025-03-31|_____|0|1
296031|090A01|2023-01-22 01:00:00.000|584300250022|55055|0648S4031Z|2023-04-30|_____|0|1
296032|090A01|2023-01-22 01:00:00.000|584300250022|12267|0648S4032Z|2023-04-30|_____|0|1
296033|090A01|2023-01-22 01:00:00.000|584300250021|441|0688I005|2023-11-30|_____|0|1
296034|090A01|2023-01-22 01:00:00.000|584300250022|161960|0649Q004|2023-12-31|_____|0|1
296035|090A01|2023-01-22 01:00:00.000|584300250022|34040|0649Q005|2023-12-31|_____|0|1
296036|090A01|2023-01-22 01:00:00.000|584300250021|1732|0688I005|2023-11-30|_____|0|1
296037|090A01|2023-01-22 01:00:00.000|584300250021|1759|0688I005|2023-11-30|_____|0|1
296038|090A01|2023-01-22 01:00:00.000|584300250022|100000|0649Q005|2023-12-31|_____|0|1
296039|090A01|2023-01-22 01:00:00.000|584300250022|85950|0649I009|2024-02-28|_____|0|1
296040|090A01|2023-01-22 01:00:00.000|584300250022|14050|0649I011|2024-03-31|_____|0|1
296041|090A01|2023-01-22 01:00:00.000|580100200001|20|1050799|2023-05-31|_____|0|1
296042|090A01|2023-01-22 01:00:00.000|583900410002|1730|A4007-2019|2026-06-30|_____|0|1
296043|090A01|2023-01-22 01:00:00.000|585900430002|300|OF039030|2024-07-31|_____|0|1
296044|090A01|2023-01-22 01:00:00.000|580600050002|1000|11230859|2023-12-31|_____|0|1
296045|090A01|2023-01-22 01:00:00.000|584300250022|53334|0649I015|2024-05-31|_____|0|1
296046|090A01|2023-01-22 01:00:00.000|584800620001|50500|20203890|2024-02-28|_____|0|1
296047|090A01|2023-01-22 01:00:00.000|584900320001|978900|2031120|2023-03-31|_____|0|1
296048|090A01|2023-01-22 01:00:00.000|584900320001|241900|2031730|2023-03-31|_____|0|1
296049|090A01|2023-01-22 01:00:00.000|584900320001|16000|2031740|2023-03-31|_____|0|1
296050|090A01|2023-01-22 01:00:00.000|584900320001|626020|2040170|2023-04-30|_____|0|1
296051|090A01|2023-01-22 01:00:00.000|584800620001|489800|20203890|2024-02-28|_____|0|1
296052|090A01|2023-01-22 01:00:00.000|584800620001|789430|20409630|2024-04-30|_____|0|1
296053|090A01|2023-01-22 01:00:00.000|584300250022|7818|0649I016|2024-05-31|_____|0|1
296054|090A01|2023-01-22 01:00:00.000|584800620001|292200|20203890|2024-02-28|_____|0|1
296055|090A01|2023-01-22 01:00:00.000|580600090002|76477|09430720|2023-07-31|_____|0|1
296056|090A01|2023-01-22 01:00:00.000|580600090002|107420|09440720|2023-07-31|_____|0|1
296057|090A01|2023-01-22 01:00:00.000|580600090002|103856|09460720|2023-07-31|_____|0|1
296058|090A01|2023-01-22 01:00:00.000|582800060002|8623|2070050|2023-07-31|_____|0|1
296059|090A01|2023-01-22 01:00:00.000|582800060002|48764|2070060|2023-07-31|_____|0|1
296060|090A01|2023-01-22 01:00:00.000|582800060002|48950|2070070|2023-07-31|_____|0|1
296061|090A01|2023-01-22 01:00:00.000|582800060002|48986|2070080|2023-07-31|_____|0|1
296062|090A01|2023-01-22 01:00:00.000|582800060002|48880|2070090|2023-07-31|_____|0|1
296063|090A01|2023-01-22 01:00:00.000|582800060002|34299|2070100|2023-07-31|_____|0|1
296064|090A01|2023-01-22 01:00:00.000|583600190041|400|20603040|2023-06-30|_____|0|1
296065|090A01|2023-01-22 01:00:00.000|582800060002|3024|2070110|2023-07-31|_____|0|1
296066|090A01|2023-01-22 01:00:00.000|582800060002|49046|2070120|2023-07-31|_____|0|1
296067|090A01|2023-01-22 01:00:00.000|582800060002|48881|2070130|2023-07-31|_____|0|1
296068|090A01|2023-01-22 01:00:00.000|582800060002|49189|2070140|2023-07-31|_____|0|1
296069|090A01|2023-01-22 01:00:00.000|582800060002|48371|2070150|2023-07-31|_____|0|1
296070|090A01|2023-01-22 01:00:00.000|582800060002|48555|2070160|2023-07-31|_____|0|1
296071|090A01|2023-01-22 01:00:00.000|582800060002|43861|2070170|2023-07-31|_____|0|1
296072|090A01|2023-01-22 01:00:00.000|582800060002|48987|2070180|2023-07-31|_____|0|1
296073|090A01|2023-01-22 01:00:00.000|582800060002|48975|2070190|2023-07-31|_____|0|1
